utc_iso,git_sha,device,gpu_name,torch_version,depth,fanout,num_leaves,chunk_len,tokens_per_path,dim,warmup,reps,tf_elapsed_s,tf_per_step_s,tf_peak_mib,gru_elapsed_s,gru_per_step_s,gru_peak_mib,m2_elapsed_s,m2_per_step_s,m2_peak_mib
2026-04-08T07:16:27Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,4,2,16,8,40,384,2,8,0.03016,0.00377,73.92,0.026044,0.003256,77.22,0.106328,0.013291,94.47
2026-04-08T07:16:42Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,4,2,16,16,80,384,2,8,0.031133,0.003892,131.64,0.044313,0.005539,115.17,0.08922,0.011153,123.63
2026-04-08T07:16:42Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,5,2,32,8,48,384,2,8,0.039824,0.004978,163.81,0.032641,0.00408,142.22,0.102274,0.012784,155.24
2026-04-08T07:16:42Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,5,2,32,16,96,384,2,8,0.05071,0.006339,272.13,0.050654,0.006332,209.84,0.096801,0.0121,199.94
2026-04-08T07:16:43Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,6,2,64,8,56,384,2,8,0.054493,0.006812,318.33,0.038106,0.004763,245.09,0.102231,0.012779,243.39
2026-04-08T07:16:43Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,6,2,64,16,112,384,2,8,0.108444,0.013556,552.45,0.067349,0.008419,387.8,0.096307,0.012038,326.97
