utc_iso,git_sha,device,gpu_name,torch_version,depth,fanout,num_leaves,chunk_len,tokens_per_path,dim,warmup,reps,tf_elapsed_s,tf_per_step_s,tf_peak_mib,gru_elapsed_s,gru_per_step_s,gru_peak_mib,m2_elapsed_s,m2_per_step_s,m2_peak_mib
2026-04-08T07:56:25Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,4,2,16,8,40,384,2,8,0.031789,0.003974,73.92,0.024696,0.003087,77.22,0.264804,0.033101,2269.75
2026-04-08T07:56:28Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,4,2,16,16,80,384,2,8,0.033312,0.004164,134.27,0.038863,0.004858,115.17,0.264698,0.033087,2300.72
2026-04-08T07:56:28Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,5,2,32,8,48,384,2,8,0.033063,0.004133,129.89,0.028628,0.003578,107.97,0.512993,0.064124,4488.44
2026-04-08T07:56:29Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,5,2,32,16,96,384,2,8,0.05062,0.006328,239.52,0.048936,0.006117,177.61,0.519922,0.06499,4536.56
2026-04-08T07:56:30Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,6,2,64,8,56,384,2,8,0.054482,0.00681,286.6,0.033884,0.004235,212.91,1.021379,0.127672,8961.95
2026-04-08T07:56:31Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,6,2,64,16,112,384,2,8,0.10709,0.013386,519.16,0.067008,0.008376,354.82,1.040759,0.130095,9044.41
