utc_iso,git_sha,device,gpu_name,torch_version,depth,fanout,num_leaves,chunk_len,tokens_per_path,dim,warmup,reps,tf_elapsed_s,tf_per_step_s,tf_peak_mib,gru_elapsed_s,gru_per_step_s,gru_peak_mib,m2_elapsed_s,m2_per_step_s,m2_peak_mib
2026-04-08T07:56:14Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,3,2,8,4,16,128,2,8,0.029202,0.00365,22.32,0.009727,0.001216,23.75,0.14062,0.017578,1139.3
2026-04-08T07:56:17Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,3,2,8,8,32,128,2,8,0.031455,0.003932,40.97,0.010092,0.001262,43.35,0.135567,0.016946,1158.31
2026-04-08T07:56:17Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,4,2,16,4,20,128,2,8,0.02884,0.003605,59.33,0.01001,0.001251,60.99,0.260395,0.032549,2242.74
2026-04-08T07:56:18Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,4,2,16,8,40,128,2,8,0.032092,0.004012,48.33,0.010274,0.001284,50.47,0.261694,0.032712,2265.04
2026-04-08T07:56:18Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,5,2,32,4,24,128,2,8,0.030608,0.003826,67.79,0.010209,0.001276,69.48,0.510593,0.063824,4484.85
2026-04-08T07:56:19Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,5,2,32,8,48,128,2,8,0.030979,0.003872,101.33,0.01013,0.001266,100.65,0.514397,0.0643,4515.56
2026-04-08T07:56:20Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,6,2,64,4,28,128,2,8,0.030575,0.003822,122.64,0.010255,0.001282,122.36,1.016516,0.127065,8936.97
2026-04-08T07:56:21Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,6,2,64,8,56,128,2,8,0.034769,0.004346,176.24,0.010554,0.001319,176.03,1.028315,0.128539,8984.33
