utc_iso,git_sha,device,gpu_name,torch_version,depth,fanout,num_leaves,chunk_len,tokens_per_path,dim,warmup,reps,tf_elapsed_s,tf_per_step_s,tf_peak_mib,gru_elapsed_s,gru_per_step_s,gru_peak_mib,m2_elapsed_s,m2_per_step_s,m2_peak_mib
2026-04-08T06:32:17Z,6e84de1,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,3,2,8,4,16,256,3,20,0.097965,0.004898,31.5,0.078031,0.003902,53.15,0.85688,0.042844,1147.59
2026-04-08T06:32:25Z,6e84de1,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,3,2,8,8,32,256,3,20,0.075389,0.003769,51.1,0.101661,0.005083,72.46,0.859145,0.042957,1149.95
2026-04-08T06:32:27Z,6e84de1,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,4,2,16,4,20,256,3,20,0.067458,0.003373,53.7,0.06491,0.003246,74.4,1.655158,0.082758,2268.05
2026-04-08T06:32:29Z,6e84de1,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,4,2,16,8,40,256,3,20,0.072588,0.003629,82.33,0.123153,0.006158,97.89,1.642766,0.082138,2290.35
2026-04-08T06:32:31Z,6e84de1,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,5,2,32,4,24,256,3,20,0.071363,0.003568,104.39,0.072527,0.003626,117.57,9.594235,0.479712,4510.91
2026-04-08T06:32:42Z,6e84de1,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,5,2,32,8,48,256,3,20,0.069761,0.003488,153.4,0.118873,0.005944,151.51,11.618408,0.58092,4539.84
2026-04-08T06:32:56Z,6e84de1,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,6,2,64,4,28,256,3,20,0.130245,0.006512,182.21,0.237133,0.011857,175.07,96.143971,4.807199,8960.82
2026-04-08T06:34:50Z,6e84de1,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,6,2,64,8,56,256,3,20,0.139109,0.006955,271.68,0.189769,0.009488,233.6,99.571234,4.978562,9013.66
