utc_iso,git_sha,device,gpu_name,torch_version,depth,fanout,num_leaves,chunk_len,tokens_per_path,dim,warmup,reps,tf_elapsed_s,tf_per_step_s,tf_peak_mib,gru_elapsed_s,gru_per_step_s,gru_peak_mib,m2_elapsed_s,m2_per_step_s,m2_peak_mib
2026-04-08T06:37:09Z,6e84de1,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,4,2,16,8,40,384,2,10,0.03406,0.003406,73.92,0.066381,0.006638,93.22,0.822788,0.082279,2269.38
2026-04-08T06:37:18Z,6e84de1,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,4,2,16,16,80,384,2,10,0.054506,0.005451,133.02,0.099789,0.009979,130.8,0.834387,0.083439,2284.0
2026-04-08T06:37:19Z,6e84de1,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,5,2,32,8,48,384,2,10,0.05551,0.005551,146.44,0.062564,0.006256,140.75,3.264325,0.326432,4505.05
2026-04-08T06:37:23Z,6e84de1,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,5,2,32,16,96,384,2,10,0.111267,0.011127,255.83,0.167288,0.016729,209.91,3.168654,0.316865,4550.41
2026-04-08T06:37:28Z,6e84de1,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,6,2,64,8,56,384,2,10,0.117145,0.011714,302.9,0.088843,0.008884,245.71,55.091524,5.509152,8978.75
2026-04-08T06:38:39Z,6e84de1,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,6,2,64,16,112,384,2,10,0.269541,0.026954,534.46,0.172685,0.017268,387.63,35.613591,3.561359,9061.36
