utc_iso,git_sha,device,gpu_name,torch_version,depth,fanout,num_leaves,chunk_len,tokens_per_path,dim,warmup,reps,tf_elapsed_s,tf_per_step_s,tf_peak_mib,gru_elapsed_s,gru_per_step_s,gru_peak_mib,m2_elapsed_s,m2_per_step_s,m2_peak_mib
2026-04-08T06:50:47Z,ab982d7,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,4,2,16,8,40,384,2,10,0.042412,0.004241,73.92,0.036403,0.00364,77.22,0.117249,0.011725,94.47
2026-04-08T06:51:01Z,ab982d7,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,4,2,16,16,80,384,2,10,0.054122,0.005412,131.64,0.049325,0.004933,115.17,0.114333,0.011433,123.63
2026-04-08T06:51:03Z,ab982d7,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,5,2,32,8,48,384,2,10,0.043577,0.004358,163.81,0.041331,0.004133,142.22,0.12427,0.012427,155.24
2026-04-08T06:51:03Z,ab982d7,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,5,2,32,16,96,384,2,10,0.066004,0.0066,255.7,0.068525,0.006852,193.41,0.121058,0.012106,183.52
2026-04-08T06:51:04Z,ab982d7,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,6,2,64,8,56,384,2,10,0.068871,0.006887,301.9,0.047466,0.004747,228.67,0.124814,0.012481,226.96
2026-04-08T06:51:04Z,ab982d7,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,6,2,64,16,112,384,2,10,0.135163,0.013516,536.03,0.083389,0.008339,370.94,0.115309,0.011531,310.54
