utc_iso,git_sha,device,gpu_name,torch_version,depth,fanout,num_leaves,chunk_len,tokens_per_path,dim,warmup,reps,tf_elapsed_s,tf_per_step_s,tf_peak_mib,gru_elapsed_s,gru_per_step_s,gru_peak_mib,m2_elapsed_s,m2_per_step_s,m2_peak_mib
2026-04-08T05:21:29Z,3218cf9,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,3,2,8,4,16,128,2,5,0.014979,0.002996,22.32,0.005566,0.001113,39.75,0.200699,0.04014,1139.3
2026-04-08T05:21:34Z,3218cf9,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,3,2,8,8,32,128,2,5,0.01648,0.003296,40.6,0.00638,0.001276,59.23,0.199059,0.039812,1158.31
2026-04-08T05:21:35Z,3218cf9,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,4,2,16,4,20,128,2,5,0.016211,0.003242,58.95,0.006317,0.001263,76.37,0.383959,0.076792,2276.35
2026-04-08T05:21:35Z,3218cf9,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,4,2,16,8,40,128,2,5,0.017139,0.003428,80.81,0.006265,0.001253,99.26,0.394288,0.078858,2298.27
2026-04-08T05:21:36Z,3218cf9,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,5,2,32,4,24,128,2,5,0.017295,0.003459,34.56,0.006062,0.001212,52.24,2.230367,0.446073,4451.24
2026-04-08T05:21:40Z,3218cf9,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,5,2,32,8,48,128,2,5,0.016136,0.003227,51.8,0.006069,0.001214,66.99,2.188041,0.437608,4465.71
2026-04-08T05:21:43Z,3218cf9,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,6,2,64,4,28,128,2,5,0.017056,0.003411,56.56,0.006631,0.001326,72.27,7.735411,1.547082,8869.65
2026-04-08T05:22:02Z,3218cf9,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,6,2,64,8,56,128,2,5,0.018047,0.003609,110.77,0.006854,0.001371,125.07,10.91026,2.182052,8919.61
